"test_id","log2.fold_change."
"1010001N08Rik",1.10799
"1110032A03Rik",-0.792348
"1500012F01Rik",-0.761711
"1700003M07Rik",-1.49498
"1810022K09Rik",-0.724012
"2010107E04Rik",-0.728681
"2010109I03Rik",1.2511
"2010204K13Rik",-0.686463
"2210039B01Rik",1.6403
"2700070H01Rik",0.898634
"3110039M20Rik",-0.851996
"4930519G04Rik",1.01337
"4930556M19Rik",0.903136
"5430401F13Rik",1.99185
"6030443J06Rik",1.65259
"6820431F20Rik",-0.72704
"9930021J03Rik",-0.666241
"9930111H07Rik",0.804503
"A130077B15Rik",1.08115
"A730043L09Rik",1.91317
"AA388235",-1.08762
"Abcd4",0.97903
"Acot13",-0.860467
"Adgrb1",0.754675
"Agt",0.919911
"Aif1",-0.998964
"Aldoart1",-0.83483
"Alyref",-0.715897
"Ankra2",-0.658186
"Ano3",-0.6879
"Anp32b",0.740941
"Apool",-1.73937
"Arhgef12",0.668382
"Aspa",-0.796612
"Atp1a2",0.697975
"Atp1b2",0.693971
"Atp5h",-0.731524
"Atp5j2",-0.80558
"Atp5l",-0.829321
"Atpif1",-0.720465
"B230209E15Rik",-0.928877
"B2m",-1.17569
"BC039771",1.22825
"Bcl9l",0.699998
"Bloc1s1",-0.715183
"Bola3",-0.654371
"Btbd19",0.908192
"C1d",-0.663682
"Calb1",-0.641087
"Calb2",0.881733
"Camta2",0.737528
"Cbln3",0.952563
"Ccdc25",-0.903577
"Cck",0.861424
"Ccnd1",0.739573
"Cd59a",-1.18254
"Cd93",1.14153
"Chchd1",-0.71376
"Chmp5",-0.716061
"Ckmt1",-0.610365
"Cnot3",1.17283
"Coch",-0.95876
"Commd7",-0.80772
"Coprs",-0.679601
"Cops5",-0.595182
"Coq7",-0.655096
"Cotl1",0.68333
"Cox20",-0.860845
"Cox6c",-0.906715
"Cox7b",-0.873748
"Cox7c",-0.840807
"Csf3r",1.09616
"Cts8",1.24815
"Cycs",-0.656228
"D030040B21Rik",1.06248
"D17H6S53E",0.787891
"Dclk3",-0.747898
"Deb1",-0.757049
"Dgkz",0.701725
"Dusp14",-0.653348
"Dynlrb1",-0.632367
"E330033B04Rik",0.993106
"Eif3e",-0.693163
"Eif3m",-0.827777
"Enpp2",-0.708151
"Erich1",0.803708
"Ermn",-0.666307
"Ezr",0.870628
"Fadd",1.24446
