Genes,ST_ASO_GF_0,ST_ASO_GF_1,ST_ASO_GF_2,ST_ASO_GF_3,ST_ASO_GF_4,ST_ASO_GF_5,ST_ASO_SPF_0,ST_ASO_SPF_1,ST_ASO_SPF_2,ST_ASO_SPF_3,ST_ASO_SPF_4,ST_ASO_SPF_5,ST_WT_GF_0,ST_WT_GF_1,ST_WT_GF_2,ST_WT_GF_3,ST_WT_GF_4,ST_WT_GF_5,ST_WT_SPF_0,ST_WT_SPF_1,ST_WT_SPF_2,ST_WT_SPF_3,ST_WT_SPF_4,ST_WT_SPF_5
0610005C13Rik,0,0,0,0,0.380649,0,0,0,0,0.383619,0,0.84511,0,0,0,0,0,0,0,0,0,0,0.418208,0
0610007P14Rik,50.293,30.3564,25.8145,29.8848,40.8833,28.0623,34.8365,44.6034,43.5702,31.4586,50.8142,59.4902,38.5943,34.1708,30.1031,38.5081,37.3779,36.4881,37.4605,35.8646,29.1158,38.8498,38.5439,52.0174
0610009B22Rik,20.6457,6.13121,10.542,11.5839,14.1826,30.9843,15.2253,22.0512,12.5078,13.8322,21.4871,23.8699,13.4567,11.3186,17.2123,9.03274,14.9603,14.2191,12.5009,9.20258,16.533,13.1902,15.0794,16.1145
0610009L18Rik,2.02286,2.6132,4.16031,9.72478,6.49978,0,5.00921,0.783208,1.36692,3.27525,0.84797,6.49382,7.16927,0.94591,0.84323,4.27763,5.13034,3.36686,4.60449,7.72565,9.7869,5.94177,5.7129,6.16377
0610009O20Rik,1.15222,2.31542,0.789906,2.41455,1.3575,2.61184,1.68601,1.48706,1.03813,0.994981,0.96601,1.09597,1.96619,1.25718,1.12071,2.28888,1.5307,1.1187,1.37381,1.12834,1.11493,1.64883,2.71173,1.50467
0610010B08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610010F05Rik,8.16315,8.32534,7.24565,8.18242,8.69716,5.25905,9.35763,7.98467,6.3871,7.09551,8.825,4.98057,5.837,8.43796,9.22341,5.40991,8.01665,6.0783,7.33468,7.63634,7.48317,7.76606,9.40365,6.07813
0610010K14Rik,35.5899,48.7241,47.2143,37.4854,36.8033,16.8424,32.0482,31.5084,40.6457,25.1423,31.671,42.91,42.9686,22.3359,24.1295,37.2945,40.2862,36.0705,38.7867,36.0833,37.3368,28.576,40.1767,38.5044
0610011F06Rik,15.2517,14.3292,6.84376,9.99838,5.79163,3.77151,11.7049,17.7153,10.3061,9.87771,12.7868,9.89114,20.7479,11.0219,15.0272,12.5276,15.5728,13.2694,11.7224,11.4053,11.4039,15.3507,19.5787,12.6744
0610012G03Rik,11.6578,12.6216,12.0564,16.6284,16.9097,10.8722,16.1212,12.3803,11.7038,17.0417,14.8002,14.732,8.91914,14.9521,10.2745,14.8552,12.5505,16.9085,14.5134,9.19816,12.2473,13.5465,11.9935,14.4987
