Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0098916	anterograde trans-synaptic signaling	 	1.955E-9	6.861E-6	2.315E-6	2.023E-5	27	891	VGF,MPP2,DLGAP2,GIT1,NTF4,SPTBN2,NFASC,GABBR2,CPLX4,NRN1,PATE4,RPH3A,NCDN,STX1B,BDNF,CNIH3,STX1A,NEUROD2,EGR1,KCNN1,SLC17A7,RIMS1,SNCB,LY6E,DNM1,CX3CL1,MAPK8IP2
GO: Biological Process	GO:0007268	chemical synaptic transmission	 	1.955E-9	6.861E-6	2.315E-6	2.023E-5	27	891	VGF,MPP2,DLGAP2,GIT1,NTF4,SPTBN2,NFASC,GABBR2,CPLX4,NRN1,PATE4,RPH3A,NCDN,STX1B,BDNF,CNIH3,STX1A,NEUROD2,EGR1,KCNN1,SLC17A7,RIMS1,SNCB,LY6E,DNM1,CX3CL1,MAPK8IP2
GO: Biological Process	GO:0099537	trans-synaptic signaling	 	2.426E-9	8.514E-6	2.315E-6	2.023E-5	27	900	VGF,MPP2,DLGAP2,GIT1,NTF4,SPTBN2,NFASC,GABBR2,CPLX4,NRN1,PATE4,RPH3A,NCDN,STX1B,BDNF,CNIH3,STX1A,NEUROD2,EGR1,KCNN1,SLC17A7,RIMS1,SNCB,LY6E,DNM1,CX3CL1,MAPK8IP2
GO: Biological Process	GO:0050808	synapse organization	 	2.914E-9	1.023E-5	2.315E-6	2.023E-5	20	498	MPP2,ABHD17A,GIT1,SPTBN2,ADGRB2,NFASC,DGKZ,SPOCK2,DCTN1,RPH3A,BDNF,PDLIM5,CDKL5,NEUROD2,CBLN2,RIMS1,SNCB,IGSF21,CX3CL1,NOS1AP
GO: Biological Process	GO:0099536	synaptic signaling	 	3.298E-9	1.157E-5	2.315E-6	2.023E-5	27	913	VGF,MPP2,DLGAP2,GIT1,NTF4,SPTBN2,NFASC,GABBR2,CPLX4,NRN1,PATE4,RPH3A,NCDN,STX1B,BDNF,CNIH3,STX1A,NEUROD2,EGR1,KCNN1,SLC17A7,RIMS1,SNCB,LY6E,DNM1,CX3CL1,MAPK8IP2
GO: Biological Process	GO:0007267	cell-cell signaling	 	6.928E-8	2.431E-4	4.052E-5	3.541E-4	38	1899	VGF,MPP2,DLGAP2,GIT1,NTF4,STXBP4,SPTBN2,BCL7B,NFASC,FJX1,WNT4,GABBR2,CPLX4,NRN1,PATE4,RPH3A,NCDN,STX1B,BDNF,CNIH3,STX1A,NEUROD2,THRA,CELSR2,AP2B1,EGR1,PTPRN,KCNN1,SLC17A7,DLX5,RIMS1,SNCB,LY6E,DNM1,FZD2,CX3CL1,DKK3,MAPK8IP2
GO: Biological Process	GO:0050804	modulation of chemical synaptic transmission	 	3.021E-7	1.060E-3	1.361E-4	1.190E-3	18	539	VGF,MPP2,DLGAP2,GIT1,NTF4,CPLX4,NRN1,PATE4,NCDN,STX1B,BDNF,STX1A,NEUROD2,EGR1,RIMS1,DNM1,CX3CL1,MAPK8IP2
GO: Biological Process	GO:0099177	regulation of trans-synaptic signaling	 	3.104E-7	1.089E-3	1.361E-4	1.190E-3	18	540	VGF,MPP2,DLGAP2,GIT1,NTF4,CPLX4,NRN1,PATE4,NCDN,STX1B,BDNF,STX1A,NEUROD2,EGR1,RIMS1,DNM1,CX3CL1,MAPK8IP2
GO: Biological Process	GO:0099565	chemical synaptic transmission, postsynaptic	 	5.422E-7	1.903E-3	2.114E-4	1.848E-3	11	198	MPP2,DLGAP2,PATE4,STX1B,BDNF,STX1A,SLC17A7,RIMS1,LY6E,CX3CL1,MAPK8IP2
GO: Biological Process	GO:0042391	regulation of membrane potential	 	8.148E-7	2.859E-3	2.859E-4	2.499E-3	17	517	MPP2,KCNH7,ARL6IP5,NFASC,STX1B,BDNF,CCK,CNIH3,STX1A,KCNJ8,SLC17A7,PYCR1,RIMS1,ATP1A3,CX3CL1,MAPK8IP2,NOS1AP
GO: Biological Process	GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	 	1.568E-6	5.501E-3	5.001E-4	4.371E-3	20	734	MPP2,DLGAP2,BCL7B,WNT4,PATE4,STX1B,BDNF,STX1A,THRA,CELSR2,AP2B1,EGR1,SLC17A7,DLX5,RIMS1,LY6E,FZD2,CX3CL1,DKK3,MAPK8IP2
GO: Biological Process	GO:0099558	maintenance of synapse structure	 	2.515E-6	8.826E-3	7.355E-4	6.428E-3	5	28	MPP2,GIT1,DGKZ,DCTN1,RIMS1
GO: Biological Process	GO:0015800	acidic amino acid transport	 	4.029E-6	1.414E-2	1.087E-3	9.505E-3	7	82	LRRC8E,ARL6IP5,BDNF,CCK,STX1A,SLC17A7,RIMS1
GO: Biological Process	GO:0030182	neuron differentiation	 	6.201E-6	2.176E-2	1.554E-3	1.358E-2	30	1578	RAP2A,GIT1,CALR,NTF4,RTN4R,SAMD4B,SPTBN2,NFASC,WNT4,GPRIN1,NRN1,NCDN,STX1B,BDNF,PDLIM5,CCK,CDKL5,NEUROD2,LINGO1,CELSR2,NFIX,CHD5,NOTO,DLX5,RIMS1,TBR1,FZD2,CX3CL1,HSPB1,MAPK8IP2
GO: Biological Process	GO:0099003	vesicle-mediated transport in synapse	 	9.128E-6	3.203E-2	2.135E-3	1.866E-2	11	265	GIT1,SPTBN2,CPLX4,NRN1,STX1B,STX1A,AP2B1,SLC17A7,RIMS1,SNCB,DNM1
GO: Biological Process	GO:0050803	regulation of synapse structure or activity	 	1.632E-5	5.728E-2	3.580E-3	3.129E-2	11	282	ABHD17A,ADGRB2,DCTN1,STX1B,BDNF,PDLIM5,CDKL5,NEUROD2,CBLN2,SLC17A7,DNM1
GO: Biological Process	GO:0048699	generation of neurons	 	1.754E-5	6.154E-2	3.620E-3	3.164E-2	31	1751	RAP2A,GIT1,CALR,NTF4,RTN4R,SAMD4B,SPTBN2,NFASC,WNT4,GPRIN1,NRN1,NCDN,STX1B,BDNF,PDLIM5,CCK,CDKL5,NEUROD2,LINGO1,CELSR2,NFIX,CHD5,NOTO,DLX5,RIMS1,TBR1,FZD2,CX3CL1,CDK5R2,HSPB1,MAPK8IP2
GO: Biological Process	GO:0099504	synaptic vesicle cycle	 	1.972E-5	6.921E-2	3.845E-3	3.361E-2	10	236	GIT1,SPTBN2,CPLX4,NRN1,STX1B,STX1A,SLC17A7,RIMS1,SNCB,DNM1
