Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0016651	oxidoreductase activity, acting on NAD(P)H	 	7.152E-5	2.982E-2	1.251E-2	8.270E-2	6	129	RFK,TXNDC17,NDUFB3,NDUFB5,NDUFS8,NDUFA13
GO: Molecular Function	GO:0050136	NADH dehydrogenase (quinone) activity	 	1.200E-4	5.003E-2	1.251E-2	8.270E-2	4	47	NDUFB3,NDUFB5,NDUFS8,NDUFA13
GO: Molecular Function	GO:0008137	NADH dehydrogenase (ubiquinone) activity	 	1.200E-4	5.003E-2	1.251E-2	8.270E-2	4	47	NDUFB3,NDUFB5,NDUFS8,NDUFA13
GO: Molecular Function	GO:0003954	NADH dehydrogenase activity	 	1.200E-4	5.003E-2	1.251E-2	8.270E-2	4	47	NDUFB3,NDUFB5,NDUFS8,NDUFA13
GO: Molecular Function	GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	 	3.313E-4	1.381E-1	2.763E-2	1.827E-1	4	61	NDUFB3,NDUFB5,NDUFS8,NDUFA13
GO: Biological Process	GO:0006605	protein targeting	 	1.588E-10	3.933E-7	3.933E-7	3.301E-6	17	457	NUDT19,RPS9,SRP14,PAM16,RPSA,ECH1,RPL10A,PIK3R4,NDUFA13,CHCHD4,TIMM10,GSTK1,TOMM22,SCP2,TIMM17A,RPL3,PMM1
GO: Biological Process	GO:0072594	establishment of protein localization to organelle	 	1.299E-8	3.218E-5	1.609E-5	1.350E-4	17	612	NUDT19,RPS9,SRP14,PAM16,RPSA,ECH1,RPL10A,PIK3R4,NDUFA13,CHCHD4,TIMM10,GSTK1,TOMM22,SCP2,TIMM17A,RPL3,PMM1
GO: Biological Process	GO:0015980	energy derivation by oxidation of organic compounds	 	5.979E-7	1.481E-3	4.937E-4	4.143E-3	11	313	ETFB,MDH1,NDUFB3,NDUFB5,NDUFS8,NDUFA13,S100B,CHCHD4,ISCU,COX7A2L,MRAP2
GO: Biological Process	GO:0045333	cellular respiration	 	1.265E-6	3.134E-3	7.834E-4	6.575E-3	9	209	ETFB,MDH1,NDUFB3,NDUFB5,NDUFS8,NDUFA13,CHCHD4,ISCU,COX7A2L
GO: Biological Process	GO:0009144	purine nucleoside triphosphate metabolic process	 	1.662E-6	4.116E-3	8.233E-4	6.909E-3	9	216	NDUFB3,NDUFB5,ITPA,NDUFS8,NDUFA13,GUK1,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0022904	respiratory electron transport chain	 	3.614E-6	8.953E-3	1.444E-3	1.212E-2	7	125	ETFB,NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,COX7A2L
GO: Biological Process	GO:0009141	nucleoside triphosphate metabolic process	 	4.080E-6	1.011E-2	1.444E-3	1.212E-2	9	241	NDUFB3,NDUFB5,ITPA,NDUFS8,NDUFA13,GUK1,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0007005	mitochondrion organization	 	6.272E-6	1.554E-2	1.942E-3	1.630E-2	13	566	PAM16,NDUFB3,NDUFB5,NDUFS8,NDUFA13,CHCHD4,RNF7,TIMM10,TOMM22,GGCT,TREM2,TIMM17A,COX7A2L
GO: Biological Process	GO:0022900	electron transport chain	 	9.356E-6	2.318E-2	2.130E-3	1.787E-2	8	202	ETFB,NDUFB3,NDUFB5,NDUFS8,ADH5,NDUFA13,ISCU,COX7A2L
GO: Biological Process	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	 	9.833E-6	2.436E-2	2.130E-3	1.787E-2	5	56	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU
GO: Biological Process	GO:0009205	purine ribonucleoside triphosphate metabolic process	 	1.079E-5	2.674E-2	2.130E-3	1.787E-2	8	206	NDUFB3,NDUFB5,ITPA,NDUFS8,NDUFA13,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0009057	macromolecule catabolic process	 	1.202E-5	2.977E-2	2.130E-3	1.787E-2	21	1453	USE1,PSMB1,RPS9,POLR2G,PSMB7,PSMD5,PAM16,RPSA,IFI27,RPL10A,PIK3R4,NDUFA13,LRPPRC,RNF7,RNF4,CST3,TREM2,UBE2S,RPL3,SDF2,ANAPC4
GO: Biological Process	GO:0042775	mitochondrial ATP synthesis coupled electron transport	 	1.245E-5	3.085E-2	2.130E-3	1.787E-2	6	100	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,COX7A2L
GO: Biological Process	GO:0042773	ATP synthesis coupled electron transport	 	1.319E-5	3.266E-2	2.130E-3	1.787E-2	6	101	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,COX7A2L
GO: Biological Process	GO:0055114	oxidation-reduction process	 	1.352E-5	3.350E-2	2.130E-3	1.787E-2	19	1231	PLA2G7,RFK,ETFB,TXNDC17,MDH1,ECH1,NDUFB3,NDUFB5,NDUFS8,ADH5,BLVRA,NDUFA13,S100B,CHCHD4,GSTK1,ISCU,SCP2,COX7A2L,MRAP2
GO: Biological Process	GO:0009199	ribonucleoside triphosphate metabolic process	 	1.376E-5	3.407E-2	2.130E-3	1.787E-2	8	213	NDUFB3,NDUFB5,ITPA,NDUFS8,NDUFA13,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0046700	heterocycle catabolic process	 	1.545E-5	3.827E-2	2.162E-3	1.815E-2	13	616	PSMB1,RPS9,POLR2G,PSMB7,PSMD5,PAM16,RPSA,ITPA,RPL10A,BLVRA,LRPPRC,ENPP5,RPL3
GO: Biological Process	GO:0044270	cellular nitrogen compound catabolic process	 	1.571E-5	3.892E-2	2.162E-3	1.815E-2	13	617	PSMB1,RPS9,POLR2G,PSMB7,PSMD5,PAM16,RPSA,ITPA,RPL10A,BLVRA,LRPPRC,ENPP5,RPL3
GO: Biological Process	GO:0019439	aromatic compound catabolic process	 	1.892E-5	4.686E-2	2.396E-3	2.011E-2	13	628	PSMB1,RPS9,POLR2G,PSMB7,PSMD5,PAM16,RPSA,ITPA,RPL10A,BLVRA,LRPPRC,ENPP5,RPL3
GO: Biological Process	GO:0006626	protein targeting to mitochondrion	 	1.935E-5	4.792E-2	2.396E-3	2.011E-2	6	108	PAM16,NDUFA13,CHCHD4,TIMM10,TOMM22,TIMM17A
GO: Biological Process	GO:0033365	protein localization to organelle	 	2.382E-5	5.900E-2	2.810E-3	2.358E-2	20	1400	NUDT19,TCTEX1D2,RPS9,SRP14,PAM16,RPSA,ECH1,RPL10A,PIK3R4,NDUFA13,CHCHD4,TIMM10,GSTK1,TOMM22,SCP2,TIMM17A,CFAP74,RPL3,PLRG1,PMM1
GO: Biological Process	GO:0034655	nucleobase-containing compound catabolic process	 	3.000E-5	7.431E-2	3.378E-3	2.834E-2	12	562	PSMB1,RPS9,POLR2G,PSMB7,PSMD5,PAM16,RPSA,ITPA,RPL10A,LRPPRC,ENPP5,RPL3
GO: Biological Process	GO:0044265	cellular macromolecule catabolic process	 	3.480E-5	8.620E-2	3.561E-3	2.989E-2	18	1201	PSMB1,RPS9,POLR2G,PSMB7,PSMD5,PAM16,RPSA,IFI27,RPL10A,LRPPRC,RNF7,RNF4,CST3,TREM2,UBE2S,RPL3,SDF2,ANAPC4
GO: Biological Process	GO:0045047	protein targeting to ER	 	3.515E-5	8.706E-2	3.561E-3	2.989E-2	6	120	RPS9,SRP14,RPSA,RPL10A,RPL3,PMM1
GO: Biological Process	GO:1901361	organic cyclic compound catabolic process	 	3.594E-5	8.903E-2	3.561E-3	2.989E-2	13	668	PSMB1,RPS9,POLR2G,PSMB7,PSMD5,PAM16,RPSA,ITPA,RPL10A,BLVRA,LRPPRC,ENPP5,RPL3
GO: Biological Process	GO:0006754	ATP biosynthetic process	 	4.031E-5	9.985E-2	3.738E-3	3.137E-2	7	181	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0006091	generation of precursor metabolites and energy	 	4.074E-5	1.009E-1	3.738E-3	3.137E-2	12	580	ETFB,MDH1,NDUFB3,NDUFB5,NDUFS8,ADH5,NDUFA13,S100B,CHCHD4,ISCU,COX7A2L,MRAP2
GO: Biological Process	GO:0072599	establishment of protein localization to endoplasmic reticulum	 	4.227E-5	1.047E-1	3.739E-3	3.138E-2	6	124	RPS9,SRP14,RPSA,RPL10A,RPL3,PMM1
GO: Biological Process	GO:0055086	nucleobase-containing small molecule metabolic process	 	4.830E-5	1.196E-1	4.126E-3	3.462E-2	14	789	RFK,NDUFB3,NDUFB5,TTR,ITPA,NDUFS8,NDUFA13,GUK1,ISCU,TREM2,SCP2,ENPP5,COX7A2L,PMM1
GO: Biological Process	GO:0009260	ribonucleotide biosynthetic process	 	5.306E-5	1.314E-1	4.381E-3	3.676E-2	9	333	RFK,NDUFB3,NDUFB5,NDUFS8,NDUFA13,GUK1,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	 	5.616E-5	1.391E-1	4.475E-3	3.755E-2	5	80	B2M,PSMB1,PSMB7,PSMD5,FCER1G
GO: Biological Process	GO:0009206	purine ribonucleoside triphosphate biosynthetic process	 	6.055E-5	1.500E-1	4.475E-3	3.755E-2	7	193	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0046390	ribose phosphate biosynthetic process	 	6.087E-5	1.508E-1	4.475E-3	3.755E-2	9	339	RFK,NDUFB3,NDUFB5,NDUFS8,NDUFA13,GUK1,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0009145	purine nucleoside triphosphate biosynthetic process	 	6.256E-5	1.550E-1	4.475E-3	3.755E-2	7	194	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0031145	anaphase-promoting complex-dependent catabolic process	 	6.323E-5	1.566E-1	4.475E-3	3.755E-2	5	82	PSMB1,PSMB7,PSMD5,UBE2S,ANAPC4
GO: Biological Process	GO:0006413	translational initiation	 	7.113E-5	1.762E-1	4.894E-3	4.107E-2	7	198	RPS9,POLR2G,RPSA,RPL10A,CDC123,EIF3I,RPL3
GO: Biological Process	GO:0009201	ribonucleoside triphosphate biosynthetic process	 	7.342E-5	1.819E-1	4.915E-3	4.125E-2	7	199	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0007031	peroxisome organization	 	8.391E-5	2.079E-1	5.470E-3	4.590E-2	5	87	NUDT19,ECH1,PIK3R4,GSTK1,SCP2
GO: Biological Process	GO:0006886	intracellular protein transport	 	8.765E-5	2.171E-1	5.567E-3	4.672E-2	20	1536	NUDT19,TCTEX1D2,RPS9,SRP14,PAM16,RPSA,ECH1,IFI27,RPL10A,PIK3R4,NDUFA13,CHCHD4,TIMM10,GSTK1,TOMM22,SCP2,TIMM17A,CFAP74,RPL3,PMM1
GO: Biological Process	GO:0090151	establishment of protein localization to mitochondrial membrane	 	1.001E-4	2.480E-1	6.063E-3	5.088E-2	3	18	NDUFA13,TIMM10,TOMM22
GO: Biological Process	GO:0072655	establishment of protein localization to mitochondrion	 	1.009E-4	2.500E-1	6.063E-3	5.088E-2	6	145	PAM16,NDUFA13,CHCHD4,TIMM10,TOMM22,TIMM17A
GO: Biological Process	GO:0009142	nucleoside triphosphate biosynthetic process	 	1.028E-4	2.546E-1	6.063E-3	5.088E-2	7	210	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0070972	protein localization to endoplasmic reticulum	 	1.172E-4	2.904E-1	6.600E-3	5.538E-2	6	149	RPS9,SRP14,RPSA,RPL10A,RPL3,PMM1
GO: Biological Process	GO:0070585	protein localization to mitochondrion	 	1.172E-4	2.904E-1	6.600E-3	5.538E-2	6	149	PAM16,NDUFA13,CHCHD4,TIMM10,TOMM22,TIMM17A
GO: Biological Process	GO:0006119	oxidative phosphorylation	 	1.356E-4	3.358E-1	7.461E-3	6.262E-2	6	153	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,COX7A2L
GO: Biological Process	GO:0015986	ATP synthesis coupled proton transport	 	1.507E-4	3.734E-1	7.944E-3	6.667E-2	6	156	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,COX7A2L
GO: Biological Process	GO:0015985	energy coupled proton transport, down electrochemical gradient	 	1.507E-4	3.734E-1	7.944E-3	6.667E-2	6	156	NDUFB3,NDUFB5,NDUFS8,NDUFA13,ISCU,COX7A2L
GO: Biological Process	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	 	1.548E-4	3.833E-1	7.986E-3	6.702E-2	5	99	B2M,PSMB1,PSMB7,PSMD5,FCER1G
GO: Biological Process	GO:0009259	ribonucleotide metabolic process	 	1.754E-4	4.345E-1	8.867E-3	7.442E-2	11	576	RFK,NDUFB3,NDUFB5,ITPA,NDUFS8,NDUFA13,GUK1,ISCU,TREM2,SCP2,COX7A2L
GO: Biological Process	GO:0072657	protein localization to membrane	 	1.987E-4	4.922E-1	9.714E-3	8.153E-2	12	686	RPS9,SRP14,RPSA,RPL10A,NDUFA13,TIMM10,FCER1G,TOMM22,TREM2,SCP2,MRAP2,RPL3
GO: Biological Process	GO:0019693	ribose phosphate metabolic process	 	2.006E-4	4.968E-1	9.714E-3	8.153E-2	11	585	RFK,NDUFB3,NDUFB5,ITPA,NDUFS8,NDUFA13,GUK1,ISCU,TREM2,SCP2,COX7A2L
GO: Biological Process	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	 	2.039E-4	5.051E-1	9.714E-3	8.153E-2	5	105	RPS9,SRP14,RPSA,RPL10A,RPL3
GO: Biological Process	GO:0010498	proteasomal protein catabolic process	 	2.134E-4	5.286E-1	9.973E-3	8.369E-2	10	492	PSMB1,PSMB7,PSMD5,IFI27,RNF7,RNF4,TREM2,UBE2S,SDF2,ANAPC4
GO: Biological Process	GO:0009117	nucleotide metabolic process	 	2.210E-4	5.475E-1	1.014E-2	8.509E-2	12	694	RFK,NDUFB3,NDUFB5,ITPA,NDUFS8,NDUFA13,GUK1,ISCU,TREM2,SCP2,ENPP5,COX7A2L
GO: Biological Process	GO:0071806	protein transmembrane transport	 	2.362E-4	5.851E-1	1.040E-2	8.732E-2	4	59	PAM16,CHCHD4,TOMM22,TIMM17A
GO: Biological Process	GO:0009152	purine ribonucleotide biosynthetic process	 	2.386E-4	5.909E-1	1.040E-2	8.732E-2	8	320	NDUFB3,NDUFB5,NDUFS8,NDUFA13,GUK1,ISCU,TREM2,COX7A2L
GO: Biological Process	GO:0006613	cotranslational protein targeting to membrane	 	2.428E-4	6.014E-1	1.040E-2	8.732E-2	5	109	RPS9,SRP14,RPSA,RPL10A,RPL3
GO: Biological Process	GO:0006753	nucleoside phosphate metabolic process	 	2.455E-4	6.080E-1	1.040E-2	8.732E-2	12	702	RFK,NDUFB3,NDUFB5,ITPA,NDUFS8,NDUFA13,GUK1,ISCU,TREM2,SCP2,ENPP5,COX7A2L
GO: Biological Process	GO:0042119	neutrophil activation	 	2.506E-4	6.208E-1	1.040E-2	8.732E-2	10	502	IL18,SCAMP1,B2M,PSMB1,PSMB7,SRP14,TTR,TYROBP,FCER1G,CST3
GO: Biological Process	GO:0002282	microglial cell activation involved in immune response	 	2.562E-4	6.347E-1	1.040E-2	8.732E-2	2	5	TYROBP,TREM2
