Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0031702	type 1 angiotensin receptor binding	 	2.373E-5	4.319E-3	3.697E-3	2.138E-2	2	7	EDNRB,AGT
GO: Molecular Function	GO:0031701	angiotensin receptor binding	 	4.063E-5	7.394E-3	3.697E-3	2.138E-2	2	9	EDNRB,AGT
GO: Molecular Function	GO:0004629	phospholipase C activity	 	6.839E-4	1.245E-1	2.512E-2	1.453E-1	3	161	EDNRB,AGT,S1PR4
GO: Molecular Function	GO:0004866	endopeptidase inhibitor activity	 	8.855E-4	1.612E-1	2.512E-2	1.453E-1	3	176	MT3,ITIH3,AGT
GO: Molecular Function	GO:0030414	peptidase inhibitor activity	 	9.911E-4	1.804E-1	2.512E-2	1.453E-1	3	183	MT3,ITIH3,AGT
GO: Molecular Function	GO:0061135	endopeptidase regulator activity	 	9.911E-4	1.804E-1	2.512E-2	1.453E-1	3	183	MT3,ITIH3,AGT
GO: Molecular Function	GO:0031703	type 2 angiotensin receptor binding	 	1.092E-3	1.988E-1	2.512E-2	1.453E-1	1	1	AGT
GO: Molecular Function	GO:0061134	peptidase regulator activity	 	1.794E-3	3.266E-1	2.512E-2	1.453E-1	3	225	MT3,ITIH3,AGT
GO: Molecular Function	GO:0050840	extracellular matrix binding	 	2.127E-3	3.871E-1	2.512E-2	1.453E-1	2	63	SPARC,CTSS
GO: Molecular Function	GO:0003948	N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity	 	2.181E-3	3.969E-1	2.512E-2	1.453E-1	1	2	ASRGL1
GO: Molecular Function	GO:0008798	beta-aspartyl-peptidase activity	 	2.181E-3	3.969E-1	2.512E-2	1.453E-1	1	2	ASRGL1
GO: Molecular Function	GO:0004067	asparaginase activity	 	2.181E-3	3.969E-1	2.512E-2	1.453E-1	1	2	ASRGL1
GO: Molecular Function	GO:0004962	endothelin receptor activity	 	2.181E-3	3.969E-1	2.512E-2	1.453E-1	1	2	EDNRB
GO: Molecular Function	GO:0001565	phorbol ester receptor activity	 	2.181E-3	3.969E-1	2.512E-2	1.453E-1	1	2	UNC13C
GO: Molecular Function	GO:0001566	non-kinase phorbol ester receptor activity	 	2.181E-3	3.969E-1	2.512E-2	1.453E-1	1	2	UNC13C
GO: Molecular Function	GO:0008081	phosphoric diester hydrolase activity	 	2.208E-3	4.019E-1	2.512E-2	1.453E-1	3	242	EDNRB,AGT,S1PR4
