Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0003735	structural constituent of ribosome	 	4.323E-15	2.066E-12	2.066E-12	1.394E-11	19	205	MRPL20,RPL36AL,RPL39,RPL36A,MRPL47,MRPL42,RPS7,MRPL27,RPS17,MRPS18C,RPS24,RPS25,RPS27,RPS27A,MRPS33,RPL22L1,RPL7,RPL17,RPL18A
GO: Molecular Function	GO:0050136	NADH dehydrogenase (quinone) activity	 	3.554E-9	1.699E-6	4.247E-7	2.866E-6	8	47	NDUFA1,NDUFA2,NDUFA5,NDUFA6,NDUFB3,NDUFB4,NDUFS4,NDUFV2
GO: Molecular Function	GO:0008137	NADH dehydrogenase (ubiquinone) activity	 	3.554E-9	1.699E-6	4.247E-7	2.866E-6	8	47	NDUFA1,NDUFA2,NDUFA5,NDUFA6,NDUFB3,NDUFB4,NDUFS4,NDUFV2
GO: Molecular Function	GO:0003954	NADH dehydrogenase activity	 	3.554E-9	1.699E-6	4.247E-7	2.866E-6	8	47	NDUFA1,NDUFA2,NDUFA5,NDUFA6,NDUFB3,NDUFB4,NDUFS4,NDUFV2
GO: Molecular Function	GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	 	3.026E-8	1.446E-5	2.893E-6	1.952E-5	8	61	NDUFA1,NDUFA2,NDUFA5,NDUFA6,NDUFB3,NDUFB4,NDUFS4,NDUFV2
GO: Molecular Function	GO:0005198	structural molecule activity	 	3.004E-7	1.436E-4	2.393E-5	1.615E-4	22	779	MRPL20,RELN,RPL36AL,RPL39,MYL6,RPL36A,MRPL47,MRPL42,RPS7,MRPL27,RPS17,MRPS18C,RPS24,RPS25,RPS27,RPS27A,MRPS33,RPL22L1,PLP1,RPL7,RPL17,RPL18A
GO: Molecular Function	GO:0003723	RNA binding	 	5.481E-6	2.620E-3	3.743E-4	2.526E-3	35	1973	PCP4,MRPL20,RPL39,RPL36A,RBM3,MRPL42,MCTS1,RPS7,EIF3E,DUSP14,MRPL27,PNO1,RPS17,MRPS18C,RPS24,RPS25,RPS27,RPS27A,GPKOW,LSM3,FCF1,LRPPRC,SUPT4H1,PURA,PIN4,C1D,ALYREF,CHCHD1,RPL22L1,MPHOSPH6,COPS5,EIF3M,RPL7,RPL17,RPL18A
GO: Molecular Function	GO:0016651	oxidoreductase activity, acting on NAD(P)H	 	9.870E-6	4.718E-3	5.898E-4	3.980E-3	8	129	NDUFA1,NDUFA2,NDUFA5,NDUFA6,NDUFB3,NDUFB4,NDUFS4,NDUFV2
GO: Molecular Function	GO:0019843	rRNA binding	 	2.876E-4	1.375E-1	1.528E-2	1.031E-1	5	72	MRPL20,RBM3,MRPS18C,RPL7,RPL17
GO: Molecular Function	GO:0009055	electron transfer activity	 	4.847E-4	2.317E-1	2.317E-2	1.563E-1	6	123	COX6C,COX7B,COX7C,NDUFV2,CYCS,UQCRB
GO: Molecular Function	GO:0003743	translation initiation factor activity	 	7.532E-4	3.600E-1	3.273E-2	2.208E-1	4	51	MCTS1,EIF3E,COPS5,EIF3M
GO: Biological Process	GO:0006119	oxidative phosphorylation	 	3.709E-15	1.031E-11	4.774E-12	4.062E-11	17	153	COX6C,COX7B,COX7C,ATP5MF,NDUFA1,NDUFA2,NDUFA5,NDUFA6,NDUFB3,NDUFB4,NDUFS4,NDUFV2,ATP5MG,CYCS,UQCRB,ATP5PD,COQ7
GO: Biological Process	GO:0015986	ATP synthesis coupled proton transport	 	5.152E-15	1.432E-11	4.774E-12	4.062E-11	17	156	COX6C,COX7B,COX7C,ATP5MF,NDUFA1,NDUFA2,NDUFA5,NDUFA6,NDUFB3,NDUFB4,NDUFS4,NDUFV2,ATP5MG,CYCS,UQCRB,ATP5PD,COQ7
GO: Biological Process	GO:0015985	energy coupled proton transport, down electrochemical gradient	 	5.152E-15	1.432E-11	4.774E-12	4.062E-11	17	156	COX6C,COX7B,COX7C,ATP5MF,NDUFA1,NDUFA2,NDUFA5,NDUFA6,NDUFB3,NDUFB4,NDUFS4,NDUFV2,ATP5MG,CYCS,UQCRB,ATP5PD,COQ7
GO: Biological Process	GO:0042775	mitochondrial ATP synthesis coupled electron transport	 	4.195E-14	1.166E-10	2.690E-11	2.288E-10	14	100	COX6C,COX7B,COX7C,NDUFA1,NDUFA2,NDUFA5,NDUFA6,NDUFB3,NDUFB4,NDUFS4,NDUFV2,CYCS,UQCRB,COQ7
GO: Biological Process	GO:0042773	ATP synthesis coupled electron transport	 	4.838E-14	1.345E-10	2.690E-11	2.288E-10	14	101	COX6C,COX7B,COX7C,NDUFA1,NDUFA2,NDUFA5,NDUFA6,NDUFB3,NDUFB4,NDUFS4,NDUFV2,CYCS,UQCRB,COQ7
