"Genes","GeneKey"
"0610005C13Rik","Gene_1"
"0610007P14Rik","Gene_2"
"0610009B22Rik","Gene_3"
"0610009L18Rik","Gene_4"
"0610009O20Rik","Gene_5"
"0610010B08Rik","Gene_6"
"0610010F05Rik","Gene_7"
"0610010K14Rik","Gene_8"
"0610011F06Rik","Gene_9"
"0610012G03Rik","Gene_10"
"0610030E20Rik","Gene_11"
"0610031O16Rik","Gene_12"
"0610037L13Rik","Gene_13"
"0610038B21Rik","Gene_14"
"0610039H22Rik","Gene_15"
"0610039K10Rik","Gene_16"
"0610040B10Rik","Gene_17"
"0610040F04Rik","Gene_18"
"0610040J01Rik","Gene_19"
"0610043K17Rik","Gene_20"
"1010001N08Rik","Gene_21"
"1110001J03Rik","Gene_22"
"1110002L01Rik","Gene_23"
"1110004E09Rik","Gene_24"
"1110004F10Rik","Gene_25"
"1110006O24Rik","Gene_26"
"1110007C09Rik","Gene_27"
"1110008F13Rik","Gene_28"
"1110008L16Rik","Gene_29"
"1110008P14Rik","Gene_30"
"1110012L19Rik","Gene_31"
"1110015O18Rik","Gene_32"
"1110017D15Rik","Gene_33"
"1110019D14Rik","Gene_34"
"1110020A21Rik","Gene_35"
"1110025L11Rik","Gene_36"
"1110028F11Rik","Gene_37"
"1110028F18Rik","Gene_38"
"1110032A03Rik","Gene_39"
"1110032F04Rik","Gene_40"
"1110034G24Rik","Gene_41"
"1110036E04Rik","Gene_42"
"1110037F02Rik","Gene_43"
"1110038B12Rik","Gene_44"
"1110038F14Rik","Gene_45"
"1110046J04Rik","Gene_46"
"1110051M20Rik","Gene_47"
"1110058D11Rik","Gene_48"
"1110059E24Rik","Gene_49"
"1110059G10Rik","Gene_50"
"1110065P20Rik","Gene_51"
"1190002F15Rik","Gene_52"
"1190002N15Rik","Gene_53"
"1190003K10Rik","Gene_54"
"1190005I06Rik","Gene_55"
"1190007I07Rik","Gene_56"
"1200014J11Rik","Gene_57"
"1300002E11Rik","Gene_58"
"1300017J02Rik","Gene_59"
"1500004A13Rik","Gene_60"
"1500009C09Rik","Gene_61"
"1500009L16Rik","Gene_62"
"1500011B03Rik","Gene_63"
"1500011K16Rik","Gene_64"
"1500012F01Rik","Gene_65"
"1500012K07Rik","Gene_66"
"1500015A07Rik","Gene_67"
"1500015L24Rik","Gene_68"
"1500015O10Rik","Gene_69"
"1500017E21Rik","Gene_70"
"1500026H17Rik","Gene_71"
"1600002D24Rik","Gene_72"
"1600002H07Rik","Gene_73"
"1600002K03Rik","Gene_74"
"1600010M07Rik","Gene_75"
"1600012H06Rik","Gene_76"
"1600014C10Rik","Gene_77"
"1600014C23Rik","Gene_78"
"1600014K23Rik","Gene_79"
"1600015I10Rik","Gene_80"
"1600019K03Rik","Gene_81"
"1600020E01Rik","Gene_82"
"1600023N17Rik","Gene_83"
"1600025M17Rik","Gene_84"
"1600027J07Rik","Gene_85"
"1600029I14Rik","Gene_86"
"1600029O15Rik","Gene_87"
"1700001C02Rik","Gene_88"
