test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
0610005C13Rik	0610005C13Rik	0610005C13Rik	chr7:45567794-45589710	ST_WT_GF	ST_WT_SPF	NOTEST	0.0559595	0.15647	1.48344	0	1	1	no
0610007P14Rik	0610007P14Rik	0610007P14Rik	chr12:85815454-85824545	ST_WT_GF	ST_WT_SPF	OK	43.9125	44.5217	0.0198774	0.0258941	0.92905	0.999552	no
0610009B22Rik	0610009B22Rik	0610009B22Rik	chr11:51685384-51688634	ST_WT_GF	ST_WT_SPF	OK	20.743	25.5963	0.303307	0.322488	0.2476	0.928876	no
0610009L18Rik	0610009L18Rik	0610009L18Rik	chr11:120348677-120351190	ST_WT_GF	ST_WT_SPF	OK	5.45335	6.099	0.16143	0.121008	0.6814	0.999552	no
0610009O20Rik	0610009O20Rik	0610009O20Rik	chr18:38238404-38262629	ST_WT_GF	ST_WT_SPF	NOTEST	1.67313	1.45337	-0.20314	0	1	1	no
0610010B08Rik	0610010B08Rik,Gm4724,OTTMUSG00000016609	0610010B08Rik,Gm4724,OTTMUSG00000016609	chr2:175185164-175338212	ST_WT_GF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
0610010F05Rik	0610010F05Rik	0610010F05Rik	chr11:23573775-23633631	ST_WT_GF	ST_WT_SPF	OK	7.25012	7.45086	0.039403	0.0507011	0.8575	0.999552	no
0610010K14Rik	0610010K14Rik	0610010K14Rik	chr11:70235203-70237914	ST_WT_GF	ST_WT_SPF	OK	27.6187	26.9425	-0.0357615	-0.0401543	0.8857	0.999552	no
0610011F06Rik	0610011F06Rik	0610011F06Rik	chr17:25875499-25877163	ST_WT_GF	ST_WT_SPF	OK	11.2004	10.4053	-0.10623	-0.105417	0.702	0.999552	no
0610012G03Rik	0610012G03Rik	0610012G03Rik	chr16:31947050-31948521	ST_WT_GF	ST_WT_SPF	OK	13.1606	12.887	-0.0303114	-0.0358598	0.896	0.999552	no
0610030E20Rik	0610030E20Rik	0610030E20Rik	chr6:72347316-72353160	ST_WT_GF	ST_WT_SPF	NOTEST	1.26033	1.19321	-0.0789499	0	1	1	no
0610031O16Rik	0610031O16Rik	0610031O16Rik	chr3:138210716-138239663	ST_WT_GF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
0610037L13Rik	0610037L13Rik	0610037L13Rik	chr4:107889898-107897802	ST_WT_GF	ST_WT_SPF	OK	8.05785	13.0914	0.700153	0.804704	0.004	0.235431	no
0610038B21Rik	0610038B21Rik	0610038B21Rik	chr8:77250365-77518578	ST_WT_GF	ST_WT_SPF	NOTEST	0.32904	0.380731	0.210508	0	1	1	no
0610039H22Rik	0610039H22Rik	0610039H22Rik	chr11:88339381-88718267	ST_WT_GF	ST_WT_SPF	NOTEST	0.55762	0.145843	-1.93486	0	1	1	no
0610039K10Rik	0610039K10Rik	0610039K10Rik	chr2:163623272-163645800	ST_WT_GF	ST_WT_SPF	NOTEST	0.133515	0	-inf	0	1	1	no
0610040B10Rik	0610040B10Rik	0610040B10Rik	chr5:143329307-143332704	ST_WT_GF	ST_WT_SPF	OK	17.5497	19.4116	0.145475	0.12899	0.65925	0.999552	no
0610040F04Rik	0610040F04Rik	0610040F04Rik	chr6:108577035-108666925	ST_WT_GF	ST_WT_SPF	NOTEST	1.66386	0.476044	-1.80536	0	1	1	no
0610040J01Rik	0610040J01Rik	0610040J01Rik	chr5:63812494-63899619	ST_WT_GF	ST_WT_SPF	NOTEST	0.576664	0.59859	0.0538382	0	1	1	no
0610043K17Rik	0610043K17Rik	0610043K17Rik	chr4:101346523-101399185	ST_WT_GF	ST_WT_SPF	OK	6.55564	5.82474	-0.170545	-0.10202	0.7963	0.999552	no
1010001N08Rik	1010001N08Rik	1010001N08Rik	chr18:11042036-11085635	ST_WT_GF	ST_WT_SPF	OK	15.4411	11.4691	-0.429028	-0.381404	0.16885	0.864282	no
1110001J03Rik	1110001J03Rik	1110001J03Rik	chr6:38534860-38539449	ST_WT_GF	ST_WT_SPF	OK	275.629	355.332	0.36644	0.482447	0.0933	0.744538	no
1110002L01Rik	1110002L01Rik	1110002L01Rik	chr12:3365131-3426747	ST_WT_GF	ST_WT_SPF	OK	9.15957	9.07385	-0.0135655	-0.0162849	0.9535	0.999552	no
1110004E09Rik	1110004E09Rik	1110004E09Rik	chr16:90925810-90934849	ST_WT_GF	ST_WT_SPF	OK	22.4815	23.0554	0.0363654	0.0431301	0.8837	0.999552	no
1110004F10Rik	1110004F10Rik	1110004F10Rik	chr7:116093379-116105210	ST_WT_GF	ST_WT_SPF	OK	53.6029	43.1883	-0.31167	-0.408818	0.15905	0.851129	no
1110006O24Rik	1110006O24Rik	1110006O24Rik	chr5:115631048-115631816	ST_WT_GF	ST_WT_SPF	NOTEST	0.378603	0.459144	0.278263	0	1	1	no
1110007C09Rik	1110007C09Rik	1110007C09Rik	chr13:49202950-49216026	ST_WT_GF	ST_WT_SPF	OK	6.19036	6.192	0.000381691	0.000329711	0.98625	0.999552	no
1110008F13Rik	1110008F13Rik	1110008F13Rik	chr2:156863121-156887078	ST_WT_GF	ST_WT_SPF	NOTEST	1.41211	1.93394	0.453686	0	1	1	no
