test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
0610005C13Rik	0610005C13Rik	0610005C13Rik	chr7:45567794-45589710	ST_ASO_GF	ST_ASO_SPF	NOTEST	0.0634414	0.204788	1.69064	0	1	1	no
0610007P14Rik	0610007P14Rik	0610007P14Rik	chr12:85815454-85824545	ST_ASO_GF	ST_ASO_SPF	OK	34.2157	44.1289	0.367063	0.747944	0.06565	0.375949	no
0610009B22Rik	0610009B22Rik	0610009B22Rik	chr11:51685384-51688634	ST_ASO_GF	ST_ASO_SPF	OK	15.6783	18.1623	0.212176	0.325679	0.42245	0.799587	no
0610009L18Rik	0610009L18Rik	0610009L18Rik	chr11:120348677-120351190	ST_ASO_GF	ST_ASO_SPF	OK	4.17015	2.96273	-0.493173	-0.373647	0.3776	0.773298	no
0610009O20Rik	0610009O20Rik	0610009O20Rik	chr18:38238404-38262629	ST_ASO_GF	ST_ASO_SPF	NOTEST	1.77357	1.21136	-0.550031	0	1	1	no
0610010B08Rik	0610010B08Rik,Gm4724,OTTMUSG00000016609	0610010B08Rik,Gm4724,OTTMUSG00000016609	chr2:175185164-175338212	ST_ASO_GF	ST_ASO_SPF	NOTEST	0	0	0	0	1	1	no
0610010F05Rik	0610010F05Rik	0610010F05Rik	chr11:23573775-23633631	ST_ASO_GF	ST_ASO_SPF	OK	7.64546	7.43841	-0.039609	-0.0786256	0.84205	0.966365	no
0610010K14Rik	0610010K14Rik	0610010K14Rik	chr11:70235203-70237914	ST_ASO_GF	ST_ASO_SPF	OK	37.1099	33.9876	-0.126796	-0.225758	0.56425	0.873763	no
0610011F06Rik	0610011F06Rik	0610011F06Rik	chr17:25875499-25877163	ST_ASO_GF	ST_ASO_SPF	OK	9.33101	12.047	0.368567	0.49637	0.2231	0.645078	no
0610012G03Rik	0610012G03Rik	0610012G03Rik	chr16:31947050-31948521	ST_ASO_GF	ST_ASO_SPF	OK	13.4577	14.4632	0.103953	0.189331	0.6376	0.903736	no
0610030E20Rik	0610030E20Rik	0610030E20Rik	chr6:72347316-72353160	ST_ASO_GF	ST_ASO_SPF	NOTEST	1.22207	1.10792	-0.141475	0	1	1	no
0610031O16Rik	0610031O16Rik	0610031O16Rik	chr3:138210716-138239663	ST_ASO_GF	ST_ASO_SPF	NOTEST	0	0	0	0	1	1	no
0610037L13Rik	0610037L13Rik	0610037L13Rik	chr4:107889898-107897802	ST_ASO_GF	ST_ASO_SPF	OK	9.95987	14.0449	0.495849	0.872121	0.0322	0.26202	no
0610038B21Rik	0610038B21Rik	0610038B21Rik	chr8:77250365-77518578	ST_ASO_GF	ST_ASO_SPF	NOTEST	0.269304	0.191103	-0.494883	0	1	1	no
0610039H22Rik	0610039H22Rik	0610039H22Rik	chr11:88339381-88718267	ST_ASO_GF	ST_ASO_SPF	NOTEST	0.466795	0.485922	0.0579351	0	1	1	no
0610039K10Rik	0610039K10Rik	0610039K10Rik	chr2:163623272-163645800	ST_ASO_GF	ST_ASO_SPF	NOTEST	0.467528	0.060869	-2.94127	0	1	1	no
