test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
0610005C13Rik	0610005C13Rik	0610005C13Rik	chr7:45567794-45589710	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.204788	0.0697013	-1.55488	0	1	1	no
0610007P14Rik	0610007P14Rik	0610007P14Rik	chr12:85815454-85824545	ST_ASO_SPF	ST_WT_SPF	OK	44.1289	38.642	-0.191552	-0.396509	0.3304	0.740729	no
0610009B22Rik	0610009B22Rik	0610009B22Rik	chr11:51685384-51688634	ST_ASO_SPF	ST_WT_SPF	OK	18.1623	13.7701	-0.399405	-0.615141	0.13555	0.524999	no
0610009L18Rik	0610009L18Rik	0610009L18Rik	chr11:120348677-120351190	ST_ASO_SPF	ST_WT_SPF	OK	2.96273	6.65591	1.16771	0.933313	0.03155	0.258967	no
0610009O20Rik	0610009O20Rik	0610009O20Rik	chr18:38238404-38262629	ST_ASO_SPF	ST_WT_SPF	NOTEST	1.21136	1.58038	0.383648	0	1	1	no
0610010B08Rik	0610010B08Rik,Gm4724,OTTMUSG00000016609	0610010B08Rik,Gm4724,OTTMUSG00000016609	chr2:175185164-175338212	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
0610010F05Rik	0610010F05Rik	0610010F05Rik	chr11:23573775-23633631	ST_ASO_SPF	ST_WT_SPF	OK	7.43841	7.61701	0.0342291	0.0679762	0.86965	0.972339	no
0610010K14Rik	0610010K14Rik	0610010K14Rik	chr11:70235203-70237914	ST_ASO_SPF	ST_WT_SPF	OK	33.9876	36.5773	0.105941	0.190432	0.62575	0.900371	no
0610011F06Rik	0610011F06Rik	0610011F06Rik	chr17:25875499-25877163	ST_ASO_SPF	ST_WT_SPF	OK	12.047	13.6892	0.184368	0.26795	0.5206	0.854662	no
0610012G03Rik	0610012G03Rik	0610012G03Rik	chr16:31947050-31948521	ST_ASO_SPF	ST_WT_SPF	OK	14.4632	12.6663	-0.191394	-0.346446	0.3944	0.784198	no
0610030E20Rik	0610030E20Rik	0610030E20Rik	chr6:72347316-72353160	ST_ASO_SPF	ST_WT_SPF	NOTEST	1.10792	1.04627	-0.0826026	0	1	1	no
0610031O16Rik	0610031O16Rik	0610031O16Rik	chr3:138210716-138239663	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
0610037L13Rik	0610037L13Rik	0610037L13Rik	chr4:107889898-107897802	ST_ASO_SPF	ST_WT_SPF	OK	14.0449	9.88817	-0.506273	-0.891775	0.02955	0.249833	no
0610038B21Rik	0610038B21Rik	0610038B21Rik	chr8:77250365-77518578	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.191103	0.354707	0.892277	0	1	1	no
0610039H22Rik	0610039H22Rik	0610039H22Rik	chr11:88339381-88718267	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.485922	0	-inf	0	1	1	no
0610039K10Rik	0610039K10Rik	0610039K10Rik	chr2:163623272-163645800	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.060869	0	-inf	0	1	1	no
0610040B10Rik	0610040B10Rik	0610040B10Rik	chr5:143329307-143332704	ST_ASO_SPF	ST_WT_SPF	OK	26.3384	15.7829	-0.738801	-0.901914	0.03255	0.263938	no
0610040F04Rik	0610040F04Rik	0610040F04Rik	chr6:108577035-108666925	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.780443	0.738442	-0.0798078	0	1	1	no
0610040J01Rik	0610040J01Rik	0610040J01Rik	chr5:63812494-63899619	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.621069	0.579446	-0.100079	0	1	1	no
0610043K17Rik	0610043K17Rik	0610043K17Rik	chr4:101346523-101399185	ST_ASO_SPF	ST_WT_SPF	OK	12.671	10.0874	-0.328974	-0.307659	0.488	0.839227	no
1010001N08Rik	1010001N08Rik	1010001N08Rik	chr18:11042036-11085635	ST_ASO_SPF	ST_WT_SPF	OK	8.45237	18.2186	1.10799	1.36683	0.0014	0.0429572	yes
1110001J03Rik	1110001J03Rik	1110001J03Rik	chr6:38534860-38539449	ST_ASO_SPF	ST_WT_SPF	OK	289.429	295.437	0.0296379	0.064476	0.8737	0.972893	no
1110002L01Rik	1110002L01Rik	1110002L01Rik	chr12:3365131-3426747	ST_ASO_SPF	ST_WT_SPF	OK	9.19735	9.15675	-0.0063826	-0.0120709	0.97465	0.994958	no
1110004E09Rik	1110004E09Rik	1110004E09Rik	chr16:90925810-90934849	ST_ASO_SPF	ST_WT_SPF	OK	36.6047	29.5768	-0.307559	-0.62109	0.1247	0.505888	no
1110004F10Rik	1110004F10Rik	1110004F10Rik	chr7:116093379-116105210	ST_ASO_SPF	ST_WT_SPF	OK	40.9349	49.3591	0.269983	0.572381	0.15025	0.548533	no
1110006O24Rik	1110006O24Rik	1110006O24Rik	chr5:115631048-115631816	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.55744	0.668149	0.261353	0	1	1	no
1110007C09Rik	1110007C09Rik	1110007C09Rik	chr13:49202950-49216026	ST_ASO_SPF	ST_WT_SPF	OK	4.37226	4.12654	-0.083447	-0.0816489	0.8405	0.966146	no
1110008F13Rik	1110008F13Rik	1110008F13Rik	chr2:156863121-156887078	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.324042	0.605896	0.902891	0	1	1	no
1110008L16Rik	1110008L16Rik	1110008L16Rik	chr12:55280813-55492647	ST_ASO_SPF	ST_WT_SPF	NOTEST	2.31551	2.09048	-0.147495	0	1	1	no
1110008P14Rik	1110008P14Rik	1110008P14Rik	chr2:32379100-32381915	ST_ASO_SPF	ST_WT_SPF	OK	83.5534	53.6709	-0.638558	-1.25123	0.002	0.0533245	no
1110012L19Rik	1110012L19Rik	1110012L19Rik	chrX:70385912-70389416	ST_ASO_SPF	ST_WT_SPF	OK	4.67882	3.01916	-0.631997	-0.664594	0.0992	0.45741	no
1110015O18Rik	1110015O18Rik	1110015O18Rik	chr3:4798707-4814911	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.507919	0.557969	0.135587	0	1	1	no
1110017D15Rik	1110017D15Rik	1110017D15Rik	chr4:41505008-41517333	ST_ASO_SPF	ST_WT_SPF	OK	13.2103	15.4974	0.230358	0.262082	0.47495	0.831888	no
1110019D14Rik	1110019D14Rik	1110019D14Rik	chr6:13871568-13896421	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.697314	0.855626	0.295172	0	1	1	no
1110020A21Rik	1110020A21Rik	1110020A21Rik	chr17:84917181-85023992	ST_ASO_SPF	ST_WT_SPF	NOTEST	1.08882	0.577853	-0.913988	0	1	1	no
1110025L11Rik	1110025L11Rik	1110025L11Rik	chr16:89063409-89064002	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1110028F11Rik	1110028F11Rik	1110028F11Rik	chr11:87663086-87735539	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.0316959	0.0728092	1.19982	0	1	1	no
1110028F18Rik	1110028F18Rik	1110028F18Rik	chr8:106587142-106594820	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.404734	1.4617	1.8526	0	1	1	no
1110032A03Rik	1110032A03Rik	1110032A03Rik	chr9:50762827-50768152	ST_ASO_SPF	ST_WT_SPF	OK	29.5926	17.0869	-0.792348	-1.60981	5e-05	0.00450088	yes
1110032F04Rik	1110032F04Rik	1110032F04Rik	chr3:68869585-68872163	ST_ASO_SPF	ST_WT_SPF	NOTEST	1.20299	1.58729	0.399937	0	1	1	no
1110034G24Rik	1110034G24Rik	1110034G24Rik	chr2:132690282-132751055	ST_ASO_SPF	ST_WT_SPF	OK	8.58993	5.74559	-0.580192	-0.853861	0.0403	0.295775	no
1110036E04Rik	1110036E04Rik	1110036E04Rik	chr9:64049828-64054100	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1110037F02Rik	1110037F02Rik	1110037F02Rik	chr4:11485957-11551143	ST_ASO_SPF	ST_WT_SPF	NOTEST	2.10313	2.26422	0.106474	0	1	1	no
1110038B12Rik	1110038B12Rik	1110038B12Rik	chr17:34950235-34952471	ST_ASO_SPF	ST_WT_SPF	OK	15.0501	19.3008	0.358887	0.410913	0.3063	0.719792	no
1110038F14Rik	1110038F14Rik	1110038F14Rik	chr15:76948543-76950731	ST_ASO_SPF	ST_WT_SPF	OK	16.6437	16.8554	0.0182359	0.0319246	0.9367	0.986722	no
1110046J04Rik	1110046J04Rik	1110046J04Rik	chr13:33917917-34002794	ST_ASO_SPF	ST_WT_SPF	NOTEST	2.13437	1.289	-0.727557	0	1	1	no
1110051M20Rik	1110051M20Rik	1110051M20Rik	chr2:91277827-91444642	ST_ASO_SPF	ST_WT_SPF	OK	12.7913	12.4008	-0.044724	-0.0853374	0.83195	0.964172	no
1110058D11Rik	1110058D11Rik	1110058D11Rik	chr17:63863980-64139496	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0.106768	inf	0	1	1	no
1110059E24Rik	1110059E24Rik	1110059E24Rik	chr19:21597312-21652791	ST_ASO_SPF	ST_WT_SPF	OK	38.2319	28.5253	-0.422535	-0.871347	0.0281	0.244375	no
1110059G10Rik	1110059G10Rik	1110059G10Rik	chr9:122945088-122951000	ST_ASO_SPF	ST_WT_SPF	OK	7.5843	6.30377	-0.266801	-0.500347	0.2184	0.63919	no
1110065P20Rik	1110065P20Rik	1110065P20Rik	chr4:124802548-124850730	ST_ASO_SPF	ST_WT_SPF	OK	88.8768	72.5326	-0.293179	-0.553851	0.18125	0.594541	no
1190002F15Rik	1190002F15Rik	1190002F15Rik	chr6:134929091-134951718	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.982852	0.353167	-1.47662	0	1	1	no
1190002N15Rik	1190002N15Rik	1190002N15Rik	chr9:94517863-94538081	ST_ASO_SPF	ST_WT_SPF	OK	3.67138	3.81281	0.0545323	0.0929619	0.8191	0.960943	no
1190003K10Rik	1190003K10Rik	1190003K10Rik	chr13:64481245-64497792	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1190005I06Rik	1190005I06Rik	1190005I06Rik	chr8:120608599-120668142	ST_ASO_SPF	ST_WT_SPF	OK	10.8911	12.3086	0.176518	0.160441	0.69285	0.924982	no
1190007I07Rik	1190007I07Rik	1190007I07Rik	chr10:82619850-82623228	ST_ASO_SPF	ST_WT_SPF	OK	12.3927	12.3272	-0.00764031	-0.00883506	0.9815	0.996366	no
1200014J11Rik	1200014J11Rik	1200014J11Rik	chr11:73047866-73083579	ST_ASO_SPF	ST_WT_SPF	OK	6.32798	7.02041	0.149809	0.308625	0.44235	0.812203	no
1300002E11Rik	1300002E11Rik	1300002E11Rik	chr16:21794346-21809039	ST_ASO_SPF	ST_WT_SPF	OK	15.7673	8.03984	-0.971692	-0.999951	0.02005	0.202513	no
1300017J02Rik	1300017J02Rik	1300017J02Rik	chr9:103250529-103288297	ST_ASO_SPF	ST_WT_SPF	NOTEST	0	0	0	0	1	1	no
1500004A13Rik	1500004A13Rik	1500004A13Rik	chr3:88777056-88832487	ST_ASO_SPF	ST_WT_SPF	NOTEST	1.22706	1.69634	0.467221	0	1	1	no
1500009C09Rik	1500009C09Rik	1500009C09Rik	chr15:82252396-82260753	ST_ASO_SPF	ST_WT_SPF	OK	38.4715	35.7728	-0.104928	-0.223496	0.57935	0.88061	no
1500009L16Rik	1500009L16Rik	1500009L16Rik	chr10:83722864-83762762	ST_ASO_SPF	ST_WT_SPF	OK	8.35258	8.35983	0.00125085	0.00184758	0.98715	0.997322	no
1500011B03Rik	1500011B03Rik	1500011B03Rik	chr5:114808195-114813976	ST_ASO_SPF	ST_WT_SPF	OK	56.1942	48.7174	-0.205984	-0.340664	0.4047	0.789616	no
1500011K16Rik	1500011K16Rik	1500011K16Rik	chr2:127791376-127792488	ST_ASO_SPF	ST_WT_SPF	OK	66.5334	49.1009	-0.438331	-0.884701	0.03	0.251474	no
1500012F01Rik	1500012F01Rik	1500012F01Rik	chr2:167035795-167065862	ST_ASO_SPF	ST_WT_SPF	OK	127.673	75.3013	-0.761711	-1.46123	0.0005	0.0221376	yes
1500012K07Rik	1500012K07Rik	1500012K07Rik	chr7:75114894-75331419	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.789013	1.88392	1.25562	0	1	1	no
1500015A07Rik	1500015A07Rik	1500015A07Rik	chr18:61726389-61728253	ST_ASO_SPF	ST_WT_SPF	NOTEST	1.29948	1.55783	0.261596	0	1	1	no
1500015L24Rik	1500015L24Rik	1500015L24Rik	chr19:20405287-20422785	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.828301	0.276075	-1.5851	0	1	1	no
1500015O10Rik	1500015O10Rik	1500015O10Rik	chr1:43730601-43742564	ST_ASO_SPF	ST_WT_SPF	OK	6.15263	2.59993	-1.24273	-1.09796	0.00935	0.131839	no
1500017E21Rik	1500017E21Rik	1500017E21Rik	chr19:36554638-36689479	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.777752	0.862296	0.148874	0	1	1	no
1500026H17Rik	1500026H17Rik	1500026H17Rik	chr10:89686362-89700866	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.463755	0.30371	-0.61067	0	1	1	no
1600002D24Rik	1600002D24Rik	1600002D24Rik	chr16:95831122-95929077	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.0606534	0.0663344	0.129168	0	1	1	no
1600002H07Rik	1600002H07Rik	1600002H07Rik	chr17:24215055-24220769	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.975002	1.45118	0.573749	0	1	1	no
1600002K03Rik	1600002K03Rik	1600002K03Rik	chr10:79697304-80369637	ST_ASO_SPF	ST_WT_SPF	OK	5.83873	5.26826	-0.14833	-0.00967279	0.8823	0.97487	no
1600010M07Rik	1600010M07Rik	1600010M07Rik	chr7:109998376-110006646	ST_ASO_SPF	ST_WT_SPF	NOTEST	0.458931	0.611396	0.413831	0	1	1	no
