Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0086064	cell communication by electrical coupling involved in cardiac conduction	 	6.409E-6	2.026E-2	7.178E-3	6.199E-2	4	25	GJA1,PRKACA,ATP1A2,ATP1B2
GO: Biological Process	GO:0104004	cellular response to environmental stimulus	 	1.140E-5	3.604E-2	7.178E-3	6.199E-2	10	361	LRRC8E,MC1R,FADD,TNFRSF10B,GJA1,NEUROD2,RAD1,HYAL3,AGT,ATP1A2
GO: Biological Process	GO:0071214	cellular response to abiotic stimulus	 	1.140E-5	3.604E-2	7.178E-3	6.199E-2	10	361	LRRC8E,MC1R,FADD,TNFRSF10B,GJA1,NEUROD2,RAD1,HYAL3,AGT,ATP1A2
GO: Biological Process	GO:0050804	modulation of chemical synaptic transmission	 	1.326E-5	4.192E-2	7.178E-3	6.199E-2	12	539	CALB2,NTF4,ADGRB1,SLC1A3,NCDN,NEUROD2,AGT,PRKACA,GLUL,SYP,GNAI2,ATP1A2
GO: Biological Process	GO:0099177	regulation of trans-synaptic signaling	 	1.351E-5	4.271E-2	7.178E-3	6.199E-2	12	540	CALB2,NTF4,ADGRB1,SLC1A3,NCDN,NEUROD2,AGT,PRKACA,GLUL,SYP,GNAI2,ATP1A2
GO: Biological Process	GO:0010644	cell communication by electrical coupling	 	1.362E-5	4.307E-2	7.178E-3	6.199E-2	4	30	GJA1,PRKACA,ATP1A2,ATP1B2
GO: Biological Process	GO:0006865	amino acid transport	 	1.933E-5	6.111E-2	8.730E-3	7.539E-2	7	168	LRRC8E,SLC1A3,CCK,SLC25A22,AGT,SFXN2,ATP1A2
GO: Biological Process	GO:2000242	negative regulation of reproductive process	 	2.266E-5	7.164E-2	8.955E-3	7.734E-2	5	69	WNT4,RAD1,HYAL3,PRKACA,FBXO43
GO: Biological Process	GO:0007267	cell-cell signaling	 	3.708E-5	1.172E-1	1.302E-2	1.125E-1	23	1899	BCL9L,NPY1R,TCF7L2,PDE4C,CALB2,NTF4,STXBP4,ADGRB1,CCND1,WNT4,SLC1A3,NCDN,GJA1,NEUROD2,AGT,PRKACA,GLUL,KCNN1,SYP,GNAI2,SNCB,ATP1A2,FOXL1
GO: Biological Process	GO:0015800	acidic amino acid transport	 	5.232E-5	1.654E-1	1.654E-2	1.428E-1	5	82	LRRC8E,SLC1A3,CCK,SLC25A22,ATP1A2
GO: Biological Process	GO:0071260	cellular response to mechanical stimulus	 	6.949E-5	2.197E-1	1.997E-2	1.725E-1	5	87	FADD,TNFRSF10B,GJA1,AGT,ATP1A2
GO: Biological Process	GO:0140352	export from cell	 	8.439E-5	2.668E-1	2.100E-2	1.814E-1	21	1730	EZR,NPY1R,TCF7L2,PDE4C,STXBP4,SLC1A3,COTL1,CCK,IFNAR1,CD93,GJA1,IGF2,HYAL3,AGT,GLUL,SYP,GNAI2,ATP1A2,ATP1B2,RAB27A,GAA
GO: Biological Process	GO:0003333	amino acid transmembrane transport	 	1.005E-4	3.176E-1	2.100E-2	1.814E-1	5	94	LRRC8E,SLC1A3,SLC25A22,AGT,ATP1A2
GO: Biological Process	GO:0098916	anterograde trans-synaptic signaling	 	1.136E-4	3.591E-1	2.100E-2	1.814E-1	14	891	CALB2,NTF4,ADGRB1,SLC1A3,NCDN,NEUROD2,AGT,PRKACA,GLUL,KCNN1,SYP,GNAI2,SNCB,ATP1A2
GO: Biological Process	GO:0007268	chemical synaptic transmission	 	1.136E-4	3.591E-1	2.100E-2	1.814E-1	14	891	CALB2,NTF4,ADGRB1,SLC1A3,NCDN,NEUROD2,AGT,PRKACA,GLUL,KCNN1,SYP,GNAI2,SNCB,ATP1A2
GO: Biological Process	GO:1903530	regulation of secretion by cell	 	1.233E-4	3.898E-1	2.100E-2	1.814E-1	14	898	EZR,NPY1R,TCF7L2,PDE4C,STXBP4,CCK,IFNAR1,GJA1,HYAL3,AGT,GLUL,SYP,GNAI2,RAB27A
GO: Biological Process	GO:0006883	cellular sodium ion homeostasis	 	1.235E-4	3.902E-1	2.100E-2	1.814E-1	3	20	AGT,ATP1A2,ATP1B2
GO: Biological Process	GO:0051447	negative regulation of meiotic cell cycle	 	1.235E-4	3.902E-1	2.100E-2	1.814E-1	3	20	RAD1,PRKACA,FBXO43
GO: Biological Process	GO:0099537	trans-synaptic signaling	 	1.262E-4	3.990E-1	2.100E-2	1.814E-1	14	900	CALB2,NTF4,ADGRB1,SLC1A3,NCDN,NEUROD2,AGT,PRKACA,GLUL,KCNN1,SYP,GNAI2,SNCB,ATP1A2
GO: Biological Process	GO:0099536	synaptic signaling	 	1.466E-4	4.635E-1	2.308E-2	1.993E-1	14	913	CALB2,NTF4,ADGRB1,SLC1A3,NCDN,NEUROD2,AGT,PRKACA,GLUL,KCNN1,SYP,GNAI2,SNCB,ATP1A2
GO: Biological Process	GO:0046628	positive regulation of insulin receptor signaling pathway	 	1.656E-4	5.234E-1	2.308E-2	1.993E-1	3	22	IGF2,AGT,GNAI2
GO: Biological Process	GO:0046889	positive regulation of lipid biosynthetic process	 	1.771E-4	5.598E-1	2.308E-2	1.993E-1	5	106	TCF7L2,WNT4,IGF2,SLC27A1,AGT
GO: Biological Process	GO:0086065	cell communication involved in cardiac conduction	 	1.774E-4	5.608E-1	2.308E-2	1.993E-1	4	57	GJA1,PRKACA,ATP1A2,ATP1B2
GO: Biological Process	GO:0007250	activation of NF-kappaB-inducing kinase activity	 	1.897E-4	5.998E-1	2.308E-2	1.993E-1	3	23	TNFRSF10B,TIRAP,AGT
GO: Biological Process	GO:0046827	positive regulation of protein export from nucleus	 	1.897E-4	5.998E-1	2.308E-2	1.993E-1	3	23	TCF7L2,ANP32B,PRKACA
GO: Biological Process	GO:0051445	regulation of meiotic cell cycle	 	1.898E-4	6.001E-1	2.308E-2	1.993E-1	4	58	WNT4,RAD1,PRKACA,FBXO43
GO: Biological Process	GO:0015740	C4-dicarboxylate transport	 	2.161E-4	6.830E-1	2.413E-2	2.084E-1	3	24	LRRC8E,SLC1A3,SLC25A22
GO: Biological Process	GO:0045834	positive regulation of lipid metabolic process	 	2.265E-4	7.158E-1	2.413E-2	2.084E-1	6	175	TCF7L2,DGKZ,WNT4,IGF2,SLC27A1,AGT
GO: Biological Process	GO:0043490	malate-aspartate shuttle	 	2.367E-4	7.483E-1	2.413E-2	2.084E-1	2	5	SLC1A3,SLC25A22
GO: Biological Process	GO:1900078	positive regulation of cellular response to insulin stimulus	 	2.447E-4	7.734E-1	2.413E-2	2.084E-1	3	25	IGF2,AGT,GNAI2
GO: Biological Process	GO:0055078	sodium ion homeostasis	 	2.459E-4	7.772E-1	2.413E-2	2.084E-1	4	62	AGT,GNAI2,ATP1A2,ATP1B2
GO: Biological Process	GO:0006835	dicarboxylic acid transport	 	2.487E-4	7.862E-1	2.413E-2	2.084E-1	5	114	LRRC8E,SLC1A3,CCK,SLC25A22,ATP1A2
GO: Biological Process	GO:0051046	regulation of secretion	 	2.568E-4	8.119E-1	2.413E-2	2.084E-1	14	964	EZR,NPY1R,TCF7L2,PDE4C,STXBP4,CCK,IFNAR1,GJA1,HYAL3,AGT,GLUL,SYP,GNAI2,RAB27A
GO: Biological Process	GO:0007610	behavior	 	2.732E-4	8.635E-1	2.413E-2	2.084E-1	12	740	NPY1R,NTF4,MC1R,FADD,SLC1A3,CCK,GJA1,IGF2,NEUROD2,AGT,ATP1A2,GAA
GO: Biological Process	GO:0051047	positive regulation of secretion	 	2.751E-4	8.695E-1	2.413E-2	2.084E-1	10	529	EZR,TCF7L2,CCK,IFNAR1,GJA1,HYAL3,AGT,GLUL,GNAI2,RAB27A
GO: Biological Process	GO:0015813	L-glutamate transmembrane transport	 	2.756E-4	8.712E-1	2.413E-2	2.084E-1	3	26	SLC1A3,SLC25A22,ATP1A2
GO: Biological Process	GO:0043085	positive regulation of catalytic activity	 	2.824E-4	8.927E-1	2.413E-2	2.084E-1	19	1611	ANP32B,NTF4,RANBP3,NEK7,FADD,ARHGEF12,DGKZ,CCND1,WNT4,TNFRSF10B,CCK,IGF2,TIRAP,SLC27A1,AGT,PRKACA,GNAI2,ATP1B2,S1PR4
GO: Biological Process	GO:1903522	regulation of blood circulation	 	2.957E-4	9.348E-1	2.460E-2	2.125E-1	8	344	NPY1R,GJA1,AGT,PRKACA,GNAI2,ATP1A2,ATP1B2,GAA
