test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
0610005C13Rik	0610005C13Rik	0610005C13Rik	chr7:45567794-45589710	ST_ASO_GF	ST_WT_GF	NOTEST	0.0634414	0	-inf	0	1	1	no
0610007P14Rik	0610007P14Rik	0610007P14Rik	chr12:85815454-85824545	ST_ASO_GF	ST_WT_GF	OK	34.2157	35.8737	0.0682668	0.138525	0.72855	0.935951	no
0610009B22Rik	0610009B22Rik	0610009B22Rik	chr11:51685384-51688634	ST_ASO_GF	ST_WT_GF	OK	15.6783	13.3666	-0.230131	-0.339144	0.39935	0.786185	no
0610009L18Rik	0610009L18Rik	0610009L18Rik	chr11:120348677-120351190	ST_ASO_GF	ST_WT_GF	OK	4.17015	3.62221	-0.203232	-0.167122	0.69705	0.925905	no
0610009O20Rik	0610009O20Rik	0610009O20Rik	chr18:38238404-38262629	ST_ASO_GF	ST_WT_GF	NOTEST	1.77357	1.54706	-0.19713	0	1	1	no
0610010B08Rik	0610010B08Rik,Gm4724,OTTMUSG00000016609	0610010B08Rik,Gm4724,OTTMUSG00000016609	chr2:175185164-175338212	ST_ASO_GF	ST_WT_GF	NOTEST	0	0	0	0	1	1	no
0610010F05Rik	0610010F05Rik	0610010F05Rik	chr11:23573775-23633631	ST_ASO_GF	ST_WT_GF	OK	7.64546	7.16721	-0.0931929	-0.185171	0.6457	0.907133	no
0610010K14Rik	0610010K14Rik	0610010K14Rik	chr11:70235203-70237914	ST_ASO_GF	ST_WT_GF	OK	37.1099	33.8475	-0.132753	-0.232003	0.55265	0.868823	no
0610011F06Rik	0610011F06Rik	0610011F06Rik	chr17:25875499-25877163	ST_ASO_GF	ST_WT_GF	OK	9.33101	14.6945	0.655168	0.909518	0.02875	0.246729	no
0610012G03Rik	0610012G03Rik	0610012G03Rik	chr16:31947050-31948521	ST_ASO_GF	ST_WT_GF	OK	13.4577	13.0767	-0.0414377	-0.0743816	0.854	0.968608	no
0610030E20Rik	0610030E20Rik	0610030E20Rik	chr6:72347316-72353160	ST_ASO_GF	ST_WT_GF	NOTEST	1.22207	1.04921	-0.220025	0	1	1	no
0610031O16Rik	0610031O16Rik	0610031O16Rik	chr3:138210716-138239663	ST_ASO_GF	ST_WT_GF	NOTEST	0	0	0	0	1	1	no
0610037L13Rik	0610037L13Rik	0610037L13Rik	chr4:107889898-107897802	ST_ASO_GF	ST_WT_GF	OK	9.95987	7.47903	-0.413277	-0.671712	0.0936	0.445145	no
0610038B21Rik	0610038B21Rik	0610038B21Rik	chr8:77250365-77518578	ST_ASO_GF	ST_WT_GF	NOTEST	0.269304	0.398995	0.567138	0	1	1	no
0610039H22Rik	0610039H22Rik	0610039H22Rik	chr11:88339381-88718267	ST_ASO_GF	ST_WT_GF	NOTEST	0.466795	0.566852	0.280184	0	1	1	no
0610039K10Rik	0610039K10Rik	0610039K10Rik	chr2:163623272-163645800	ST_ASO_GF	ST_WT_GF	NOTEST	0.467528	0.110156	-2.0855	0	1	1	no
0610040B10Rik	0610040B10Rik	0610040B10Rik	chr5:143329307-143332704	ST_ASO_GF	ST_WT_GF	OK	27.4491	12.9796	-1.08051	-1.22588	0.00295	0.0676405	no
0610040F04Rik	0610040F04Rik	0610040F04Rik	chr6:108577035-108666925	ST_ASO_GF	ST_WT_GF	NOTEST	0.751343	3.14953	2.06759	0	1	1	no
0610040J01Rik	0610040J01Rik	0610040J01Rik	chr5:63812494-63899619	ST_ASO_GF	ST_WT_GF	NOTEST	0.438393	0.629021	0.520883	0	1	1	no
0610043K17Rik	0610043K17Rik	0610043K17Rik	chr4:101346523-101399185	ST_ASO_GF	ST_WT_GF	OK	18.3352	11.9266	-0.620433	-0.694236	0.10485	0.468946	no
1010001N08Rik	1010001N08Rik	1010001N08Rik	chr18:11042036-11085635	ST_ASO_GF	ST_WT_GF	OK	16.2588	20.6533	0.345155	0.489089	0.22175	0.643269	no
1110001J03Rik	1110001J03Rik	1110001J03Rik	chr6:38534860-38539449	ST_ASO_GF	ST_WT_GF	OK	228.213	239.907	0.0720926	0.154402	0.69905	0.926243	no
1110002L01Rik	1110002L01Rik	1110002L01Rik	chr12:3365131-3426747	ST_ASO_GF	ST_WT_GF	OK	9.43705	8.8332	-0.0953992	-0.175889	0.66555	0.915124	no
1110004E09Rik	1110004E09Rik	1110004E09Rik	chr16:90925810-90934849	ST_ASO_GF	ST_WT_GF	OK	30.089	28.2627	-0.0903371	-0.178161	0.6562	0.911855	no
1110004F10Rik	1110004F10Rik	1110004F10Rik	chr7:116093379-116105210	ST_ASO_GF	ST_WT_GF	OK	54.3286	52.6838	-0.0443513	-0.0956201	0.8154	0.959832	no
1110006O24Rik	1110006O24Rik	1110006O24Rik	chr5:115631048-115631816	ST_ASO_GF	ST_WT_GF	NOTEST	0.476702	0.418716	-0.187119	0	1	1	no
1110007C09Rik	1110007C09Rik	1110007C09Rik	chr13:49202950-49216026	ST_ASO_GF	ST_WT_GF	OK	3.47299	3.96743	0.192027	0.177118	0.66405	0.914519	no
1110008F13Rik	1110008F13Rik	1110008F13Rik	chr2:156863121-156887078	ST_ASO_GF	ST_WT_GF	NOTEST	1.12203	0.479848	-1.22547	0	1	1	no
1110008L16Rik	1110008L16Rik	1110008L16Rik	chr12:55280813-55492647	ST_ASO_GF	ST_WT_GF	OK	2.43893	3.66391	0.587136	0.28695	0.4615	0.823892	no
1110008P14Rik	1110008P14Rik	1110008P14Rik	chr2:32379100-32381915	ST_ASO_GF	ST_WT_GF	OK	92.9606	59.8897	-0.634313	-1.22771	0.00245	0.060405	no
1110012L19Rik	1110012L19Rik	1110012L19Rik	chrX:70385912-70389416	ST_ASO_GF	ST_WT_GF	OK	3.29211	3.38299	0.0392848	0.0394063	0.92075	0.983071	no
1110015O18Rik	1110015O18Rik	1110015O18Rik	chr3:4798707-4814911	ST_ASO_GF	ST_WT_GF	NOTEST	0.277163	0.370549	0.418928	0	1	1	no
