test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
0610005C13Rik	0610005C13Rik	0610005C13Rik	chr7:45567794-45589710	ST_ASO_SPF	ST_WT_GF	NOTEST	0.193259	0.0559595	-1.78808	0	1	1	no
0610007P14Rik	0610007P14Rik	0610007P14Rik	chr12:85815454-85824545	ST_ASO_SPF	ST_WT_GF	OK	49.7246	43.9125	-0.17933	-0.234765	0.4101	0.999552	no
0610009B22Rik	0610009B22Rik	0610009B22Rik	chr11:51685384-51688634	ST_ASO_SPF	ST_WT_GF	OK	28.385	20.743	-0.452501	-0.498406	0.0679	0.678123	no
0610009L18Rik	0610009L18Rik	0610009L18Rik	chr11:120348677-120351190	ST_ASO_SPF	ST_WT_GF	OK	5.18715	5.45335	0.0722018	0.0522419	0.84485	0.999552	no
0610009O20Rik	0610009O20Rik	0610009O20Rik	chr18:38238404-38262629	ST_ASO_SPF	ST_WT_GF	NOTEST	1.39269	1.67313	0.26467	0	1	1	no
0610010B08Rik	0610010B08Rik,Gm4724,OTTMUSG00000016609	0610010B08Rik,Gm4724,OTTMUSG00000016609	chr2:175185164-175338212	ST_ASO_SPF	ST_WT_GF	NOTEST	0	0	0	0	1	1	no
0610010F05Rik	0610010F05Rik	0610010F05Rik	chr11:23573775-23633631	ST_ASO_SPF	ST_WT_GF	OK	7.48646	7.25012	-0.0462783	-0.0594851	0.8329	0.999552	no
0610010K14Rik	0610010K14Rik	0610010K14Rik	chr11:70235203-70237914	ST_ASO_SPF	ST_WT_GF	OK	24.3776	27.6187	0.18009	0.197024	0.4704	0.999552	no
0610011F06Rik	0610011F06Rik	0610011F06Rik	chr17:25875499-25877163	ST_ASO_SPF	ST_WT_GF	OK	9.39303	11.2004	0.253887	0.251539	0.35025	0.980131	no
0610012G03Rik	0610012G03Rik	0610012G03Rik	chr16:31947050-31948521	ST_ASO_SPF	ST_WT_GF	OK	14.4293	13.1606	-0.132769	-0.158067	0.5639	0.999552	no
0610030E20Rik	0610030E20Rik	0610030E20Rik	chr6:72347316-72353160	ST_ASO_SPF	ST_WT_GF	NOTEST	1.17622	1.26033	0.0996407	0	1	1	no
0610031O16Rik	0610031O16Rik	0610031O16Rik	chr3:138210716-138239663	ST_ASO_SPF	ST_WT_GF	NOTEST	0	0	0	0	1	1	no
0610037L13Rik	0610037L13Rik	0610037L13Rik	chr4:107889898-107897802	ST_ASO_SPF	ST_WT_GF	OK	15.2351	8.05785	-0.918934	-1.08625	0.00015	0.050781	no
0610038B21Rik	0610038B21Rik	0610038B21Rik	chr8:77250365-77518578	ST_ASO_SPF	ST_WT_GF	NOTEST	0.337371	0.32904	-0.0360725	0	1	1	no
0610039H22Rik	0610039H22Rik	0610039H22Rik	chr11:88339381-88718267	ST_ASO_SPF	ST_WT_GF	NOTEST	0.301381	0.55762	0.887694	0	1	1	no
0610039K10Rik	0610039K10Rik	0610039K10Rik	chr2:163623272-163645800	ST_ASO_SPF	ST_WT_GF	NOTEST	0.116237	0.133515	0.199939	0	1	1	no
0610040B10Rik	0610040B10Rik	0610040B10Rik	chr5:143329307-143332704	ST_ASO_SPF	ST_WT_GF	OK	28.6427	17.5497	-0.706719	-0.663342	0.02075	0.4531	no
0610040F04Rik	0610040F04Rik	0610040F04Rik	chr6:108577035-108666925	ST_ASO_SPF	ST_WT_GF	NOTEST	0.39184	1.66386	2.08619	0	1	1	no
0610040J01Rik	0610040J01Rik	0610040J01Rik	chr5:63812494-63899619	ST_ASO_SPF	ST_WT_GF	NOTEST	0.550179	0.576664	0.0678277	0	1	1	no
0610043K17Rik	0610043K17Rik	0610043K17Rik	chr4:101346523-101399185	ST_ASO_SPF	ST_WT_GF	OK	6.92987	6.55564	-0.0800905	-0.0445628	0.9088	0.999552	no
1010001N08Rik	1010001N08Rik	1010001N08Rik	chr18:11042036-11085635	ST_ASO_SPF	ST_WT_GF	OK	8.36489	15.4411	0.884359	0.729308	0.0109	0.353032	no
1110001J03Rik	1110001J03Rik	1110001J03Rik	chr6:38534860-38539449	ST_ASO_SPF	ST_WT_GF	OK	341.315	275.629	-0.308376	-0.404388	0.15395	0.842875	no
1110002L01Rik	1110002L01Rik	1110002L01Rik	chr12:3365131-3426747	ST_ASO_SPF	ST_WT_GF	OK	9.01485	9.15957	0.0229771	0.0276754	0.9204	0.999552	no
1110004E09Rik	1110004E09Rik	1110004E09Rik	chr16:90925810-90934849	ST_ASO_SPF	ST_WT_GF	OK	27.0698	22.4815	-0.267946	-0.318117	0.26725	0.939115	no
1110004F10Rik	1110004F10Rik	1110004F10Rik	chr7:116093379-116105210	ST_ASO_SPF	ST_WT_GF	OK	42.2945	53.6029	0.341843	0.449672	0.11295	0.782326	no
1110006O24Rik	1110006O24Rik	1110006O24Rik	chr5:115631048-115631816	ST_ASO_SPF	ST_WT_GF	NOTEST	0.368098	0.378603	0.0405947	0	1	1	no
